title,user_score,critic_score
LEGO Batman 2: DC Super Heroes,72,79
Monday Night Combat,81,79
Quarrel,81,79
Transformers: Fall of Cybertron,84,79
Orcs Must Die!,81,79
Dead Rising 2: Case Zero,78,79
DeathSpank,82,79
Tom Clancy's Ghost Recon: Future Soldier,73,79
Winning Eleven: Pro Evolution Soccer 2007,65,79
The Lord of the Rings: The Battle for Middle-Earth II,76,79
Dead Rising 2,70,79
Hexic HD,70,79
CastleStorm,68,79
Ultimate Marvel vs. Capcom 3,65,79
Final Fantasy XIII-2,63,79
LEGO Harry Potter: Years 1-4,80,79
Mirror's Edge,75,79
Alien Hominid HD,75,79
Ghostbusters: The Video Game,85,79
Just Dance 2014,78,79
Hasbro Family Game Night: Scrabble,80,79
Prey,75,79
Battlefield 4,57,79
Call of Duty: Black Ops - Escalation,52,79
Dragon Age II,45,79
Tales of Vesperia,86,79
Greed Corp,70,79
Anomaly: Warzone Earth,61,79
Carcassonne,84,79
Assault Heroes,74,79
Perfect Dark,86,79
Gears of War: Judgment,56,79
Pool Nation,76,79
Tiger Woods PGA Tour 11,78,79
OutRun Online Arcade,83,79
Major League Baseball 2K7,71,79
Marble Blast Ultra,82,79
Pro Evolution Soccer 2011,59,79
F1 2013,68,79
Blue Dragon,79,79
Roogoo,74,78
Hasbro Family Game Night: Yahtzee,43,78
Skylanders: Spyro's Adventure,55,78
Madden NFL 12,59,78
Lost Odyssey,84,78
WWE '13,80,78
Prototype,77,78
DeathSpank: Thongs of Virtue,81,78
AstroPop,54,78
Super Street Fighter IV: Arcade Edition,69,78
Naruto: Rise of a Ninja,85,78
Bust-A-Move Live!,tbd,78
Bejeweled 3,84,78
Call of Duty: Black Ops - First Strike,64,78
Lost Planet: Extreme Condition Colonies Edition,81,78
NFL Blitz,63,78
Skullgirls,68,78
MotoGP '07,69,78
NHL 2K7,79,78
Pro Evolution Soccer 2012,66,78
State of Decay,72,78
Far Cry Instincts Predator,62,78
Bangai-O HD: Missile Fury,74,78
Rock Band Blitz,75,78
Kinect Nat Geo TV,68,78
Charlie Murder,67,78
Metal Slug 3,66,78
GRID 2,57,78
A Kingdom for Keflings,69,78
Ace Combat: Assault Horizon,62,78
Switchball,79,78
Dead Space 3,64,78
R.U.S.E.,70,78
Every Extend Extra Extreme,72,78
Pro Evolution Soccer 2010,76,78
Marvel vs. Capcom Origins,81,78
Call of Duty: Black Ops - Annihilation,50,78
Top Spin 3,77,78
Mutant Storm Reloaded,72,77
Devil May Cry HD Collection,85,77
Sega Rally Revo,72,77
Birds of Steel,85,77
NBA Live 09,75,77
Shank 2,63,77
Sanctum 2,49,77
Eets: Chowdown,58,77
RISK: Factions,66,77
Your Shape Fitness Evolved 2012,76,77
SoulCalibur V,63,77
Call of Juarez: Bound in Blood,76,77
Banjo-Kazooie,83,77
Gears of War 3: RAAM's Shadow,78,77
Final Fight: Double Impact,76,77
Battlefield 2: Modern Combat,73,77
Sonic Generations,84,77
Sonic the Hedgehog (Live Arcade),87,77
Dungeons & Dragons: Chronicles of Mystara,58,77
Wik & the Fable of Souls,76,77
Daytona USA,80,77
World of Tanks: Xbox 360 Edition,67,77
Tomb Raider: Anniversary,85,77
Lumines Live!,77,77
DoDonPachi Resurrection,84,77
Red Dead Redemption: Liars and Cheats,73,77
LEGO Indiana Jones: The Original Adventures,76,77
Dungeon Defenders,68,77
Operation Flashpoint: Dragon Rising,76,77
Stranglehold,76,77
Fable III: Traitor's Keep Quest Pack,78,77
Rocksmith,82,77
Zuma Deluxe,75,77
Outpost Kaloki X,69,77
Command & Conquer: Red Alert 3,72,77
LEGO Harry Potter: Years 5-7,80,77
Mutant Storm Empire,78,77
Doom II,82,77
Need for Speed Carbon,64,77
The Wolf Among Us: Episode 3 - A Crooked Mile,82,77
Tom Clancy's EndWar,72,77
Metro 2033,78,77
SkyDrift,80,77
NCAA Football 14,59,77
Tropico 4,74,77
The Godfather,78,77
The Gunstringer,81,77
Dragon's Dogma: Dark Arisen,80,77
Heavy Weapon: Atomic Tank,77,77
The Adventures of Shuggy,82,77
Uno Rush,72,77
Tiger Woods PGA Tour 14,62,77
F.E.A.R. 2: Project Origin,79,77
Garou: Mark of the Wolves,86,77
A World of Keflings,66,77
Just Dance 4,77,77
de Blob 2,71,77
Full House Poker,67,77
FIFA Street,67,77
Awesomenauts,77,77
Tiger Woods PGA Tour 13,56,77
Insanely Twisted Shadow Planet,79,76
Crysis 3,68,76
Left 4 Dead: Crash Course,77,76
Pro Evolution Soccer 2008,77,76
Transformers: War for Cybertron,85,76
Guwange,86,76
Strider,75,76
NCAA Football 13,55,76
Spec Ops: The Line,83,76
The Bridge,74,76
Forza Horizon: Rally Expansion Pack,61,76
Quantum Conundrum,64,76
R-Type Dimensions,69,76
Half-Minute Hero: Super Mega Neo Climax,80,76
Shadows of the Damned,83,76
Street Fighter II' Hyper Fighting,67,76
Band Hero,50,76
Dead or Alive 5,80,76
Major League Baseball 2K10,76,76
The Bigs 2,63,76
SoulCalibur II HD Online,77,76
Call of Juarez: Gunslinger,82,76
LEGO Batman: The Videogame,78,76
Resident Evil 5: Desperate Escape,76,76
Call of Duty: Black Ops II - Uprising,50,76
Puzzle Quest: Galactrix,76,76
Deus Ex: Human Revolution - The Missing Link,69,76
Deathsmiles,84,76
Brothers in Arms: Hell's Highway,82,76
Chessmaster LIVE,69,76
Penny Arcade Adventures: Episode One,76,76
Zuma's Revenge!,69,76
Singularity,77,76
The Club,68,76
Fallout 3: The Pitt,72,76
The Sims 3,73,76
Need for Speed: Rivals,54,76
Disney/Pixar Toy Story 3,84,76
Lode Runner,74,76
Section 8: Prejudice,77,76
Alan Wake's American Nightmare,78,76
Spider-Man: Shattered Dimensions,75,76
Undertow,76,76
Streets of Rage 2,83,76
Dragon Age II: Mark of the Assassin,54,76
Age of Booty,72,76
Battlestations: Pacific,74,76
Overlord,83,76
"Warhammer 40,000: Space Marine",78,76
Scene It? Box Office Smash,74,76
RoboBlitz,83,76
Tomb Raider: Underworld,67,76
Alan Wake: The Signal,68,75
MX vs. ATV Reflex,63,75
WWE 2K14,77,75
Top Spin 2,68,75
NHL 2K6,61,75
Panzer General: Allied Assault,69,75
Overlord II,74,75
Worms,69,75
Sam & Max: Beyond Time and Space,78,75
Dragon's Dogma,79,75
Penny Arcade Adventures: Episode Two,75,75
NCAA Basketball 10,tbd,75
Resident Evil: Revelations,75,75
Gyromancer,65,75
Stuntman Ignition,72,75
F.E.A.R. 3,69,75
Tony Hawk's American Wasteland,74,75
Sonic & Sega All-Stars Racing with Banjo-Kazooie,76,75
Tropico 3,67,75
WWE All Stars,71,75
Magic: The Gathering - Duels of the Planeswalkers 2012,80,75
GRID Autosport,61,75
Blood of the Werewolf,66,75
Akai Katana,80,75
Supreme Commander 2,71,75
Payday 2,63,75
Zone of the Enders HD Collection,81,75
All-Pro Football 2K8,68,75
Hard Corps: Uprising,71,75
The Maw,77,75
Raskulls,71,75
WWE SmackDown vs. Raw 2011,76,75
Magic: The Gathering - Duels of the Planeswalkers,74,75
Frontlines: Fuel of War,77,75
Dead or Alive 5 Ultimate,73,75
Call of Duty: Black Ops II - Revolution,51,75
Culdcept Saga,86,75
Quake 4,68,75
DiRT Showdown,65,75
DreamWorks Kung Fu Panda,74,75
Exit,77,75
El Shaddai: Ascension of the Metatron,70,75
The Dishwasher: Dead Samurai,78,75
Green Day: Rock Band,66,75
Smash T.V.,81,75
Assassin's Creed: Brotherhood - The Da Vinci Disappearance,83,75
Command & Conquer 3: Kane's Wrath,69,75
Assault Heroes 2,53,75
Hydro Thunder Hurricane,82,75
LEGO Star Wars III: The Clone Wars,78,75
Gun,75,75
X-Men Origins: Wolverine,83,75
NBA Jam,70,75
Hasbro Family Game Night: Sorry! Sliders,tbd,74
Droplitz,72,74
The Wolf Among Us: Episode 4 - In Sheep's Clothing,85,74
Costume Quest,78,74
Prototype 2,70,74
Medal of Honor,68,74
Sam & Max: Save the World,75,74
Majin and the Forsaken Kingdom,81,74
Dead Rising 2: Case West,70,74
Resonance of Fate,77,74
Binary Domain,81,74
Batman: Arkham Origins,75,74
Mercury Hg,80,74
Def Jam Rapstar,54,74
Galaga Legions DX,tbd,74
Borderlands: The Pre-Sequel,63,74
Disney Infinity,67,74
CAPSIZED,71,74
Hasbro Family Game Night: Connect Four,tbd,74
Left 4 Dead 2: The Passing,81,74
Gatling Gears,78,74
World Series of Poker 2008: Battle for the Bracelets,67,74
Ridge Racer 6,74,74
Kinectimals,32,74
Mass Effect 3: Leviathan,68,74
Naruto Shippuden: Ultimate Ninja Storm Generations,70,74
Guilty Gear XX Accent Core Plus,66,74
Zeno Clash: Ultimate Edition,81,74
Naruto Shippuden: Ultimate Ninja Storm 2,85,74
Comic Jumper: The Adventures of Captain Smiley,67,74
Madden NFL 06,52,74
Ion Assault,75,74
Mafia II,79,74
Syndicate,72,74
2014 FIFA World Cup Brazil,44,74
SBK X: Superbike World Championship,83,74
Dance Dance Revolution Universe,80,74
Galaga Legions,78,74
Prince of Persia: The Forgotten Sands,78,74
Pro Evolution Soccer 2009,68,74
Call of Duty: Ghosts,26,73
NBA Live 08,53,73
Your Shape: Fitness Evolved,75,73
Army of Two: The 40th Day,73,73
Just Cause,72,73
Jetpac Refuelled,74,73
The Saboteur,82,73
Medal of Honor: Airborne,68,73
The Elder Scrolls V: Skyrim - Dawnguard,72,73
Motocross Madness,78,73
Scott Pilgrim vs. the World: The Game,75,73
Bandfuse: Rock Legends,77,73
Assassin's Creed III - The Infamy,50,73
LEGO Pirates of the Caribbean: The Video Game,71,73
NBA Baller Beats,66,73
Castlevania: Lords of Shadow - Mirror of Fate HD,78,73
Battlestations: Midway,71,73
Marvel: Ultimate Alliance 2,73,73
"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees",79,73
The Wolf Among Us: Episode 2 - Smoke and Mirrors,78,73
"Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort",tbd,73
Hybrid,74,73
Dishonored: Dunwall City Trials,65,73
Earthworm Jim HD,78,73
Thrillville: Off the Rails,33,73
Tom Clancy's HAWX,72,73
Worms Revolution,59,73
Jonah Lomu Rugby Challenge,60,73
Small Arms,74,73
Star Wars: The Force Unleashed,67,73
Virtual-On: Oratorio Tangram Ver.5.66,85,73
Raiden Fighters Aces,76,73
Zumba Fitness Rush,62,73
Banjo-Tooie,83,73
Kinect: Disneyland Adventures,31,73
"Scene It? Lights, Camera, Action",81,73
Dante's Inferno,77,73
FIFA 07 Soccer,76,73
Kinect Sports,75,73
Beautiful Katamari,70,73
Warp,74,73
Anarchy Reigns,79,73
Mini Ninjas,83,73
Crimson Alliance,72,72
Rock of Ages,84,72
UEFA Champions League 2006-2007,82,72
Battlefield 3: Close Quarters,55,72
Omega Five,84,72
Race Pro,70,72
Commanders: Attack of the Genos,64,72
Samurai Shodown II,tbd,72
NASCAR The Game: Inside Line,34,72
Tony Hawk's Proving Ground,55,72
GripShift,80,72
Cars 2: The Video Game,79,72
Borderlands: Claptrap's New Robot Revolution,70,72
MotoGP 13,58,72
Mercenaries 2: World in Flames,72,72
Amped 3,71,72
After Burner Climax,50,72
Mortal Kombat vs. DC Universe,74,72
Gel: Set & Match,tbd,72
Blazing Angels 2: Secret Missions of WWII,78,72
Star Ocean: The Last Hope,73,72
Need for Speed ProStreet,71,72
Pid,83,72
Dragon Ball Z: Burst Limit,77,72
NiGHTS into Dreams...,78,72
Dungeon Siege III,59,72
Wolfenstein,76,72
Phantom Breaker: Battle Grounds,70,72
Stoked: Big Air Edition,77,72
South Park Let's Go Tower Defense Play!,68,72
"Wallace & Gromit's Grand Adventures, Episode 3: Muzzled!",tbd,72
Rocket Knight,77,72
Guitar Hero: Warriors of Rock,65,72
FIFA World Cup: Germany 2006,66,72
Serious Sam HD: The Second Encounter,71,72
Axel & Pixel,75,72
Sonic the Hedgehog 4: Episode I,56,72
GoldenEye 007: Reloaded,60,72
Hexic 2,62,72
Hasbro Family Game Night: Battleship,tbd,72
Call of Duty Classic,78,72
Army of Two,75,72
Dead Rising 2: Off the Record,74,72
Batman: Arkham City - Harley Quinn's Revenge,67,72
Borderlands 2: Sir Hammerlock's Big Game Hunt,63,72
Dark Sector,75,72
The Splatters,88,72
Divinity II: The Dragon Knight Saga,78,72
Assassin's Creed Rogue,74,72
Command & Conquer: Red Alert 3 - Commander's Challenge,68,72
Red Faction: Armageddon,70,71
The Walking Dead: Season Two Episode 4 - Amid the Ruins,71,71
Bee Movie Game,71,71
Sacred 2: Fallen Angel,73,71
Shank,64,71
Record of Agarest War,71,71
WWE '12,63,71
LEGO Indiana Jones 2: The Adventure Continues,73,71
Dead Island,69,71
Boulder Dash-XL,tbd,71
Aces of the Galaxy,73,71
WWE Legends of WrestleMania,60,71
Zeit Squared,tbd,71
Guitar Hero: Smash Hits,61,71
Grand Slam Tennis 2,53,71
Retro City Rampage,77,71
Nike+ Kinect Training,73,71
Call of Juarez,70,71
Stacking: The Lost Hobo King,88,71
Guardians of Middle-Earth,80,71
50 Cent: Blood on the Sand,63,71
Meteos Wars,65,71
NHL 2K8,74,71
Warriors Orochi 3,81,71
LEGO Rock Band,72,71
Robert Ludlum's The Bourne Conspiracy,72,71
Mass Effect 2: Kasumi - Stolen Memory,79,71
NBA 2K10: Draft Combine,tbd,71
Hasbro Family Game Night: Sorry!,tbd,71
Battle Fantasia,66,71
WWE SmackDown vs. Raw 2008,69,71
Lips,74,71
Paperboy,62,71
Gotham City Impostors,70,71
The Simpsons Game,77,71
Fruit Ninja Kinect,64,71
Easy Golf: Course Architect,79,71
Chromehounds,70,71
Tiger Woods PGA Tour 06,74,71
Asura's Wrath,66,71
"Batman: Arkham Origins - Cold, Cold Heart",79,71
Ridge Racer Unbounded,76,71
Bionic Commando,73,70
Crackdown 2,61,70
The Sims 3: Pets,35,70
Silent Hill: Homecoming,70,70
Virtua Tennis 4,63,70
Luxor 2,72,70
Bubble Bobble Neo!,73,70
The Outfit,76,70
TimeShift,79,70
Ninja Gaiden 3: Razor's Edge,73,70
Bomberman Live: Battlefest,83,70
College Hoops 2K6,75,70
