title                                                                     user_score  critic_score  title
Deus Ex: Human Revolution                                                 83          89            DEUS EX: HUMAN REVOLUTION
Daytona USA                                                               80          77            DAYTONA USA
Crystal Quest                                                             76          64            Crystal Quest
Crysis 3                                                                  68          76            Crysis 3
Crysis 2                                                                  75          84            Crysis 2
Crysis                                                                    75          81            Crysis
Crazy Taxi                                                                71          59            Crazy Taxi
Crackdown                                                                 80          83            Crackdown
Contra                                                                    51          63            Contra
Child of Eden                                                             76          84            Child of Eden
Centipede & Millipede                                                     66          55            Centipede & Millipede
Catherine                                                                 82          82            Catherine
CastleStorm                                                               68          79            Castlestorm
Castle Crashers                                                           88          82            Castle Crashers
Cars 2: The Video Game                                                    79          72            Cars 2: The Video Game
Carcassonne                                                               84          79            Carcassonne
Call of Duty: World at War                                                76          84            Call of Duty: World at War
Call of Duty: Modern Warfare 2                                            64          94            Call of Duty: Modern Warfare 2
Call of Duty: Ghosts                                                      26          73            Call of Duty: Ghosts
Call of Duty: Black Ops II                                                50          83            Call of Duty: Black Ops II
Call of Duty: Black Ops                                                   64          87            Call of Duty: Black Ops
Call of Duty 4: Modern Warfare                                            85          94            Call of Duty 4: Modern Warfare
Call of Duty 3                                                            65          82            Call of Duty 3
Call of Duty 2                                                            82          89            Call of Duty 2
Crystal Defenders                                                         62          52            CRYSTAL DEFENDERS
Burnout Revenge                                                           82          89            Burnout Revenge
Burnout Paradise                                                          70          88            Burnout Paradise
Brave: The Video Game                                                     60          65            Brave: The Video Game
Brain Challenge                                                           56          54            Brain Challenge
Braid                                                                     85          93            Braid
Borderlands 2                                                             83          89            Borderlands 2
Borderlands                                                               82          84            Borderlands
Boom Boom Rocket                                                          61          69            Boom Boom Rocket
Blue Dragon                                                               79          79            Blue Dragon
Bloodforge                                                                73          42            Bloodforge
BloodRayne: Betrayal                                                      74          68            BloodRayne: Betrayal
Blood of the Werewolf                                                     66          75            Blood of the Werewolf
Blood Knights                                                             42          43            Blood Knights
BioShock Infinite                                                         85          93            Bioshock Infinite
BioShock 2                                                                82          88            Bioshock 2
BioShock                                                                  89          96            Bioshock
Bionic Commando Rearmed 2                                                 59          62            Bionic Commando Rearmed 2
Beyond Good & Evil HD                                                     85          84            Beyond Good & Evil HD
Bellator: MMA Onslaught                                                   64          47            Bellator: MMA Onslaught
Bejeweled 3                                                               84          78            Bejeweled 3
Battlestations: Midway                                                    71          73            Battlestations: Midway
Battlefield 3                                                             75          84            Battlefield 3
Battlefield 1943                                                          79          83            Battlefield 1943
BattleBlock Theater                                                       79          85            BattleBlock Theater
Batman: Arkham Origins                                                    75          74            Batman: Arkham Origins
Band of Bugs                                                              60          68            Band of Bugs
Babel Rising                                                              34          51            Babel Rising
Bayonetta                                                                 81          90            BAYONETTA
Axel & Pixel                                                              75          72            Axel & Pixel
